,open,high,low,close,adjclose,volume,ticker
2022-01-01,1.6599440574645996,1.7645180225372314,1.6333719491958618,1.7401080131530762,1.7401080131530762,312453115,ALGO-USD
2022-01-02,1.740285038948059,1.7770830392837524,1.663432002067566,1.6740410327911377,1.6740410327911377,328237594,ALGO-USD
2022-01-03,1.6741269826889038,1.8339860439300537,1.6295119524002075,1.7882100343704224,1.7882100343704224,670050624,ALGO-USD
2022-01-04,1.7882050275802612,1.831503987312317,1.6635689735412598,1.6746829748153687,1.6746829748153687,735111286,ALGO-USD
2022-01-05,1.6743650436401367,1.7983020544052124,1.4609520435333252,1.5598969459533691,1.5598969459533691,716687740,ALGO-USD
2022-01-06,1.5600600242614746,1.602632999420166,1.489799976348877,1.5667179822921753,1.5667179822921753,555160494,ALGO-USD
2022-01-07,1.5663479566574097,1.5676380395889282,1.401365041732788,1.441290020942688,1.441290020942688,571909362,ALGO-USD
2022-01-08,1.4419989585876465,1.4670820236206055,1.32464599609375,1.387387990951538,1.387387990951538,344241318,ALGO-USD
2022-01-09,1.387397050857544,1.4402470588684082,1.3731460571289062,1.4020320177078247,1.4020320177078247,216003353,ALGO-USD
2022-01-10,1.4017970561981201,1.4482100009918213,1.3047120571136475,1.3686729669570923,1.3686729669570923,393570642,ALGO-USD
2022-01-11,1.3679389953613281,1.4497649669647217,1.3517160415649414,1.4466290473937988,1.4466290473937988,365010965,ALGO-USD
2022-01-12,1.4466500282287598,1.5017720460891724,1.440911054611206,1.4936070442199707,1.4936070442199707,455700299,ALGO-USD
2022-01-13,1.4935669898986816,1.497789978981018,1.345790982246399,1.3577510118484497,1.3577510118484497,555873527,ALGO-USD
2022-01-14,1.358098030090332,1.409754991531372,1.331007957458496,1.3849639892578125,1.3849639892578125,419744861,ALGO-USD
2022-01-15,1.3849090337753296,1.414415955543518,1.3601280450820923,1.3828259706497192,1.3828259706497192,214174530,ALGO-USD
2022-01-16,1.3827699422836304,1.44520103931427,1.3700840473175049,1.4303719997406006,1.4303719997406006,272633054,ALGO-USD
2022-01-17,1.4304319620132446,1.4417990446090698,1.3412950038909912,1.3485000133514404,1.3485000133514404,349105980,ALGO-USD
2022-01-18,1.3476589918136597,1.3600339889526367,1.282932996749878,1.319046974182129,1.319046974182129,310548664,ALGO-USD
2022-01-19,1.3192249536514282,1.321560025215149,1.2291810512542725,1.2699739933013916,1.2699739933013916,316150629,ALGO-USD
2022-01-20,1.2697069644927979,1.3246270418167114,1.1677780151367188,1.1677780151367188,1.1677780151367188,220145807,ALGO-USD
2022-01-21,1.1681269407272339,1.1895509958267212,1.0055619478225708,1.0323480367660522,1.0323480367660522,615015115,ALGO-USD
2022-01-22,1.0323569774627686,1.0590169429779053,0.8081600069999695,0.9497060179710388,0.9497060179710388,799031385,ALGO-USD
2022-01-23,0.9502320289611816,1.002271056175232,0.9293389916419983,0.9877099990844727,0.9877099990844727,391280346,ALGO-USD
2022-01-24,0.9889169931411743,0.9897810220718384,0.8215559720993042,0.9182209968566895,0.9182209968566895,401783919,ALGO-USD
2022-01-25,0.9178590178489685,0.9403470158576965,0.8709160089492798,0.9292920231819153,0.9292920231819153,299595309,ALGO-USD
2022-01-26,0.9282609820365906,0.9895660281181335,0.8960099816322327,0.9269649982452393,0.9269649982452393,376999339,ALGO-USD
2022-01-27,0.9266039729118347,0.9548869729042053,0.8810499906539917,0.9365220069885254,0.9365220069885254,309306518,ALGO-USD
2022-01-28,0.9362639784812927,0.9839450120925903,0.9241060018539429,0.9566689729690552,0.9566689729690552,278523706,ALGO-USD
2022-01-29,0.9567350149154663,1.005162000656128,0.9567350149154663,0.9679549932479858,0.9679549932479858,222784574,ALGO-USD
2022-01-30,0.9682400226593018,0.9873499870300293,0.9318060278892517,0.9452559947967529,0.9452559947967529,192809164,ALGO-USD
2022-01-31,0.9452459812164307,0.9689580202102661,0.9072080254554749,0.9528080224990845,0.9528080224990845,221403280,ALGO-USD
2022-02-01,0.9523879885673523,0.989857017993927,0.9484999775886536,0.9670950174331665,0.9670950174331665,207613436,ALGO-USD
2022-02-02,0.9670510292053223,1.0286649465560913,0.9235410094261169,0.924892008304596,0.924892008304596,324540676,ALGO-USD
2022-02-03,0.9245629906654358,0.939985990524292,0.9030399918556213,0.9313989877700806,0.9313989877700806,225526726,ALGO-USD
2022-02-04,0.93122398853302,0.9979349970817566,0.9277679920196533,0.9968870282173157,0.9968870282173157,236404326,ALGO-USD
2022-02-05,0.9970470070838928,1.041651964187622,0.9846360087394714,1.002953052520752,1.002953052520752,252522445,ALGO-USD
2022-02-06,1.0029640197753906,1.0289089679718018,0.9766449928283691,1.0238540172576904,1.0238540172576904,223118123,ALGO-USD
2022-02-07,1.023725986480713,1.0971800088882446,1.0018500089645386,1.070080041885376,1.070080041885376,431192583,ALGO-USD
2022-02-08,1.0705679655075073,1.1004810333251953,0.9892920255661011,1.0265350341796875,1.0265350341796875,382640270,ALGO-USD
2022-02-09,1.0259560346603394,1.0448939800262451,0.9998630285263062,1.0379929542541504,1.0379929542541504,264069777,ALGO-USD
2022-02-10,1.0379589796066284,1.0477080345153809,0.9782090187072754,0.9815700054168701,0.9815700054168701,354824893,ALGO-USD
2022-02-11,0.9816340208053589,0.9947299957275391,0.9012619853019714,0.9162529706954956,0.9162529706954956,283556465,ALGO-USD
2022-02-12,0.9163370132446289,0.9394279718399048,0.8941159844398499,0.9177860021591187,0.9177860021591187,180147250,ALGO-USD
2022-02-13,0.9177979826927185,0.9336090087890625,0.8849689960479736,0.9007099866867065,0.9007099866867065,149568052,ALGO-USD
2022-02-14,0.8999819755554199,0.9087049961090088,0.8756909966468811,0.9002180099487305,0.9002180099487305,169827736,ALGO-USD
2022-02-15,0.9002500176429749,0.9722610116004944,0.8998569846153259,0.97017902135849,0.97017902135849,193474566,ALGO-USD
2022-02-16,0.9702550172805786,1.0057090520858765,0.9558889865875244,0.9798529744148254,0.9798529744148254,299273104,ALGO-USD
2022-02-17,0.9794420003890991,0.9872210025787354,0.8907179832458496,0.8968539834022522,0.8968539834022522,240735642,ALGO-USD
2022-02-18,0.8973420262336731,0.9249860048294067,0.8768119812011719,0.8966180086135864,0.8966180086135864,170019551,ALGO-USD
2022-02-19,0.8962460160255432,0.916566014289856,0.8729349970817566,0.8999239802360535,0.8999239802360535,132969149,ALGO-USD
2022-02-20,0.8998889923095703,0.9000030159950256,0.8341119885444641,0.8464999794960022,0.8464999794960022,155813072,ALGO-USD
2022-02-21,0.846235990524292,0.8779140114784241,0.7816830277442932,0.7851570248603821,0.7851570248603821,256859953,ALGO-USD
2022-02-22,0.7847800254821777,0.8180469870567322,0.7598099708557129,0.8112319707870483,0.8112319707870483,245845039,ALGO-USD
2022-02-23,0.8112040162086487,0.8469110131263733,0.7843469977378845,0.7872809767723083,0.7872809767723083,233082064,ALGO-USD
2022-02-24,0.7869089841842651,0.7917150259017944,0.690421998500824,0.7767599821090698,0.7767599821090698,424874908,ALGO-USD
2022-02-25,0.7768959999084473,0.8389149904251099,0.7708140015602112,0.8295289874076843,0.8295289874076843,241005972,ALGO-USD
2022-02-26,0.829509973526001,0.8791159987449646,0.8226400017738342,0.8590059876441956,0.8590059876441956,231979403,ALGO-USD
2022-02-27,0.8587350249290466,0.8605830073356628,0.7866420149803162,0.797120988368988,0.797120988368988,235640543,ALGO-USD
2022-02-28,0.796970009803772,0.8673880100250244,0.7871620059013367,0.8673880100250244,0.8673880100250244,276161913,ALGO-USD
2022-03-01,0.867389976978302,0.8931199908256531,0.84027498960495,0.8561310172080994,0.8561310172080994,372474801,ALGO-USD
2022-03-02,0.8561710119247437,0.8574360013008118,0.8111910223960876,0.8202049732208252,0.8202049732208252,333382423,ALGO-USD
2022-03-03,0.8201940059661865,0.8498240113258362,0.7904750108718872,0.7977120280265808,0.7977120280265808,414025663,ALGO-USD
2022-03-04,0.7977809906005859,0.8089630007743835,0.7540019750595093,0.7603030204772949,0.7603030204772949,280784209,ALGO-USD
2022-03-05,0.7604510188102722,0.7766789793968201,0.7463160157203674,0.7738149762153625,0.7738149762153625,177046735,ALGO-USD
2022-03-06,0.7738059759140015,0.7811769843101501,0.7456780076026917,0.7474219799041748,0.7474219799041748,173058832,ALGO-USD
2022-03-07,0.7473229765892029,0.7715209722518921,0.7226009964942932,0.7327730059623718,0.7327730059623718,214364989,ALGO-USD
2022-03-08,0.7325940132141113,0.7582629919052124,0.7269790172576904,0.7394970059394836,0.7394970059394836,152444222,ALGO-USD
2022-03-09,0.7397149801254272,0.7790729999542236,0.7397149801254272,0.7687780261039734,0.7687780261039734,162926708,ALGO-USD
2022-03-10,0.7684699892997742,0.7796120047569275,0.7247530221939087,0.7312099933624268,0.7312099933624268,161145479,ALGO-USD
2022-03-11,0.7311440110206604,0.7311440110206604,0.7008020281791687,0.7038040161132812,0.7038040161132812,147997239,ALGO-USD
2022-03-12,0.7036120295524597,0.7208639979362488,0.7028250098228455,0.7060419917106628,0.7060419917106628,81992079,ALGO-USD
2022-03-13,0.7058470249176025,0.7156530022621155,0.6782029867172241,0.6824730038642883,0.6824730038642883,84245362,ALGO-USD
2022-03-14,0.6824290156364441,0.7083860039710999,0.6760320067405701,0.7069069743156433,0.7069069743156433,140799440,ALGO-USD
2022-03-15,0.7068589925765991,0.7262549996376038,0.6814389824867249,0.7169730067253113,0.7169730067253113,179073279,ALGO-USD
2022-03-16,0.7169489860534668,0.7378780245780945,0.6993770003318787,0.7372400164604187,0.7372400164604187,206146303,ALGO-USD
2022-03-17,0.7372679710388184,0.7599319815635681,0.7233819961547852,0.7430769801139832,0.7430769801139832,200041284,ALGO-USD
2022-03-18,0.7429249882698059,0.7627300024032593,0.7283380031585693,0.7572960257530212,0.7572960257530212,216223119,ALGO-USD
2022-03-19,0.756974995136261,0.7795619964599609,0.7556250095367432,0.7644529938697815,0.7644529938697815,219745801,ALGO-USD
2022-03-20,0.7645620107650757,0.7763530015945435,0.7366049885749817,0.7422130107879639,0.7422130107879639,166871308,ALGO-USD
2022-03-21,0.7422400116920471,0.825169026851654,0.7330939769744873,0.825169026851654,0.825169026851654,442243371,ALGO-USD
2022-03-22,0.8255620002746582,0.85002601146698,0.8055040240287781,0.8246020078659058,0.8246020078659058,384824564,ALGO-USD
2022-03-23,0.8248370289802551,0.8384209871292114,0.806647002696991,0.8374940156936646,0.8374940156936646,231787233,ALGO-USD
2022-03-24,0.8376749753952026,0.9064469933509827,0.822987973690033,0.8915789723396301,0.8915789723396301,342000462,ALGO-USD
2022-03-25,0.8915330171585083,0.9471759796142578,0.8838520050048828,0.8899120092391968,0.8899120092391968,362026711,ALGO-USD
2022-03-26,0.8899279832839966,0.9189890027046204,0.8790330290794373,0.9123920202255249,0.9123920202255249,187726573,ALGO-USD
2022-03-27,0.9124370217323303,0.9488289952278137,0.8973060250282288,0.9483680129051208,0.9483680129051208,182786495,ALGO-USD
2022-03-28,0.9484900236129761,0.9711130261421204,0.9039090275764465,0.9081940054893494,0.9081940054893494,260978608,ALGO-USD
2022-03-29,0.9075869917869568,0.9618359804153442,0.9034730195999146,0.9234150052070618,0.9234150052070618,297453002,ALGO-USD
2022-03-30,0.9233840107917786,0.954613983631134,0.8896229863166809,0.9269289970397949,0.9269289970397949,284923007,ALGO-USD
2022-03-31,0.9269570112228394,0.9868720173835754,0.9124850034713745,0.9276310205459595,0.9276310205459595,347770069,ALGO-USD
2022-04-01,0.9278180003166199,0.9601060152053833,0.8949649930000305,0.9391829967498779,0.9391829967498779,266226735,ALGO-USD
2022-04-02,0.9392619729042053,0.9751080274581909,0.904358983039856,0.9055650234222412,0.9055650234222412,292730943,ALGO-USD
2022-04-03,0.9054660201072693,0.9462720155715942,0.8929010033607483,0.9340879917144775,0.9340879917144775,208697698,ALGO-USD
2022-04-04,0.9340729713439941,0.935483992099762,0.8558340072631836,0.8838210105895996,0.8838210105895996,258918098,ALGO-USD
2022-04-05,0.8838639855384827,0.8995749950408936,0.8342270255088806,0.8351079821586609,0.8351079821586609,216485494,ALGO-USD
