,open,high,low,close,adjclose,volume,ticker
2022-01-01,46340.80078125,47765.6953125,46337.2265625,47532.60546875,47532.60546875,52021296,BTCB-USD
2022-01-02,47532.60546875,47840.7421875,46876.0859375,47355.5625,47355.5625,30560447,BTCB-USD
2022-01-03,47355.5625,47436.1484375,45995.01171875,46431.90234375,46431.90234375,31756108,BTCB-USD
2022-01-04,46431.90234375,47255.4609375,45846.4375,45944.30078125,45944.30078125,41725615,BTCB-USD
2022-01-05,45944.30078125,46672.0390625,42722.78515625,43559.15234375,43559.15234375,68088430,BTCB-USD
2022-01-06,43559.15234375,43612.9921875,42609.0,43043.125,43043.125,68912233,BTCB-USD
2022-01-07,43043.125,43074.8828125,41130.390625,41543.51953125,41543.51953125,82095926,BTCB-USD
2022-01-08,41543.51953125,42171.453125,40662.8828125,41795.0625,41795.0625,72216013,BTCB-USD
2022-01-09,41795.0625,42588.40625,41336.578125,41978.85546875,41978.85546875,43314586,BTCB-USD
2022-01-10,41978.85546875,42212.15234375,39743.81640625,41747.80859375,41747.80859375,65519995,BTCB-USD
2022-01-11,41747.80859375,42920.58984375,41462.77734375,42786.484375,42786.484375,55734779,BTCB-USD
2022-01-12,42786.484375,44039.8046875,42410.44921875,43917.62890625,43917.62890625,45235116,BTCB-USD
2022-01-13,43917.62890625,44041.46484375,42371.18359375,42439.98046875,42439.98046875,54172719,BTCB-USD
2022-01-14,42439.98046875,43279.62109375,41839.1796875,43106.0625,43106.0625,40594960,BTCB-USD
2022-01-15,43106.0625,43564.53515625,42652.3984375,43173.08203125,43173.08203125,32152836,BTCB-USD
2022-01-16,43173.08203125,43354.53515625,42750.08203125,43111.203125,43111.203125,28429977,BTCB-USD
2022-01-17,43111.203125,43130.296875,41663.625,42151.46484375,42151.46484375,34140274,BTCB-USD
2022-01-18,42151.46484375,42506.6171875,41374.5703125,42345.359375,42345.359375,41469362,BTCB-USD
2022-01-19,42345.359375,42418.16015625,41213.390625,41672.4609375,41672.4609375,37804238,BTCB-USD
2022-01-20,41672.4609375,43252.59375,40721.92578125,40721.92578125,40721.92578125,37218677,BTCB-USD
2022-01-21,40721.92578125,40946.7578125,35815.96484375,36400.9921875,36400.9921875,132710818,BTCB-USD
2022-01-22,36400.9921875,36613.6875,34299.3203125,34976.51953125,34976.51953125,185557724,BTCB-USD
2022-01-23,34976.51953125,36389.55078125,34719.71484375,36275.1953125,36275.1953125,109013620,BTCB-USD
2022-01-24,36275.1953125,37055.99609375,33156.7734375,36653.4140625,36653.4140625,73845906,BTCB-USD
2022-01-25,36653.4140625,37374.5390625,35829.98046875,36967.93359375,36967.93359375,66530039,BTCB-USD
2022-01-26,36967.93359375,38637.33203125,36316.90234375,36788.98046875,36788.98046875,62071490,BTCB-USD
2022-01-27,36788.98046875,36987.109375,34177.19921875,36951.84765625,36951.84765625,241443798,BTCB-USD
2022-01-28,36951.84765625,37918.984375,36175.859375,37780.5078125,37780.5078125,204966219,BTCB-USD
2022-01-29,37780.5078125,38499.59375,37391.94140625,38056.09765625,38056.09765625,47152386,BTCB-USD
2022-01-30,38056.09765625,38268.39453125,37448.6328125,37985.27734375,37985.27734375,29819688,BTCB-USD
2022-01-31,37985.27734375,38550.48046875,36721.03515625,38340.87890625,38340.87890625,37050811,BTCB-USD
2022-02-01,38340.87890625,39038.9453125,38101.21484375,38705.34375,38705.34375,36700468,BTCB-USD
2022-02-02,38705.34375,38732.74609375,36780.171875,36902.92578125,36902.92578125,30302622,BTCB-USD
