,open,high,low,close,adjclose,volume,ticker
2022-01-01,2337.63916015625,2428.754638671875,2328.803466796875,2426.9033203125,2426.9033203125,2517921858,MKR-USD
2022-01-02,2426.219970703125,2505.6123046875,2337.724365234375,2472.1845703125,2472.1845703125,6643830502,MKR-USD
2022-01-03,2471.908935546875,2580.052734375,2386.06201171875,2399.009033203125,2399.009033203125,7665025552,MKR-USD
2022-01-04,2398.71533203125,2534.03955078125,2364.147216796875,2451.339599609375,2451.339599609375,13754958457,MKR-USD
2022-01-05,2451.4873046875,2514.8349609375,2211.534423828125,2252.203125,2252.203125,126115113,MKR-USD
2022-01-06,2251.7451171875,2293.136962890625,2136.083984375,2248.867919921875,2248.867919921875,129809868,MKR-USD
2022-01-07,2248.62646484375,2251.924072265625,2112.5869140625,2126.74853515625,2126.74853515625,125366020,MKR-USD
2022-01-08,2127.00439453125,2184.281494140625,2007.1617431640625,2054.711181640625,2054.711181640625,77465965,MKR-USD
2022-01-09,2054.65869140625,2156.238525390625,2043.1107177734375,2124.36328125,2124.36328125,52755958,MKR-USD
2022-01-10,2124.451904296875,2142.474365234375,1962.8916015625,1989.0133056640625,1989.0133056640625,73178018,MKR-USD
2022-01-11,1988.9200439453125,2082.431640625,1979.3800048828125,2073.9462890625,2073.9462890625,60613593,MKR-USD
2022-01-12,2074.1787109375,2176.65185546875,2046.1568603515625,2167.906982421875,2167.906982421875,67986526,MKR-USD
2022-01-13,2168.0576171875,2194.778564453125,2081.350830078125,2096.69970703125,2096.69970703125,66811361,MKR-USD
2022-01-14,2096.828857421875,2191.675048828125,2090.670654296875,2189.187255859375,2189.187255859375,62166674,MKR-USD
2022-01-15,2189.424072265625,2237.67333984375,2171.586181640625,2217.2099609375,2217.2099609375,45609585,MKR-USD
2022-01-16,2216.69384765625,2254.696044921875,2188.41650390625,2254.3759765625,2254.3759765625,44332170,MKR-USD
2022-01-17,2254.59423828125,2265.93798828125,2079.323974609375,2099.566650390625,2099.566650390625,57179656,MKR-USD
2022-01-18,2099.63232421875,2119.0048828125,2038.22607421875,2065.1484375,2065.1484375,68211997,MKR-USD
2022-01-19,2065.127197265625,2066.39599609375,1999.901123046875,2000.27001953125,2000.27001953125,68711509,MKR-USD
2022-01-20,2000.453857421875,2060.568115234375,1901.2315673828125,1901.51513671875,1901.51513671875,43576825,MKR-USD
2022-01-21,1902.1214599609375,1915.8779296875,1716.0938720703125,1791.9576416015625,1791.9576416015625,130189528,MKR-USD
2022-01-22,1793.58251953125,2048.139404296875,1645.3267822265625,1796.7061767578125,1796.7061767578125,274686061,MKR-USD
2022-01-23,1797.3341064453125,1917.1925048828125,1776.51123046875,1832.5528564453125,1832.5528564453125,111575303,MKR-USD
2022-01-24,1832.8892822265625,1953.1956787109375,1664.7044677734375,1923.366455078125,1923.366455078125,142241111,MKR-USD
2022-01-25,1923.388916015625,1937.5987548828125,1800.1280517578125,1814.19921875,1814.19921875,262868664,MKR-USD
2022-01-26,1813.8148193359375,1861.9739990234375,1673.21533203125,1706.681884765625,1706.681884765625,260720682,MKR-USD
2022-01-27,1706.3079833984375,1787.3729248046875,1655.6856689453125,1769.279296875,1769.279296875,187232810,MKR-USD
2022-01-28,1768.9520263671875,1874.5162353515625,1736.0919189453125,1872.4718017578125,1872.4718017578125,219022529,MKR-USD
2022-01-29,1872.4102783203125,1957.88232421875,1863.5513916015625,1948.4427490234375,1948.4427490234375,93560252,MKR-USD
2022-01-30,1948.8763427734375,2006.6851806640625,1927.4422607421875,1998.1715087890625,1998.1715087890625,110277606,MKR-USD
2022-01-31,1998.2366943359375,2140.398193359375,1949.666015625,2140.37744140625,2140.37744140625,305645660,MKR-USD
2022-02-01,2139.80419921875,2233.178955078125,2130.623046875,2198.818115234375,2198.818115234375,373011598,MKR-USD
2022-02-02,2198.497314453125,2301.819580078125,2111.890380859375,2143.220458984375,2143.220458984375,235174014,MKR-USD
2022-02-03,2142.50634765625,2326.275146484375,2138.9560546875,2284.122802734375,2284.122802734375,109563052,MKR-USD
