,open,high,low,close,adjclose,volume,ticker
2022-01-01,0.00010800000018207356,0.00011100000119768083,0.00010800000018207356,0.00011000000085914508,0.00011000000085914508,14435653,XEC-USD
2022-01-02,0.00011000000085914508,0.00011600000289035961,0.00011000000085914508,0.00011300000187475234,0.00011300000187475234,43700799,XEC-USD
2022-01-03,0.00011300000187475234,0.00011999999696854502,0.00011300000187475234,0.00011600000289035961,0.00011600000289035961,78538588,XEC-USD
2022-01-04,0.00011600000289035961,0.00011899999663000926,0.00011300000187475234,0.00011300000187475234,0.00011300000187475234,41419309,XEC-USD
2022-01-05,0.00011300000187475234,0.00011500000255182385,0.00010099999781232327,0.0001049999991664663,0.0001049999991664663,30933159,XEC-USD
2022-01-06,0.0001049999991664663,0.00010599999950500205,9.999999747378752e-05,0.00010299999848939478,0.00010299999848939478,32494907,XEC-USD
2022-01-07,0.00010299999848939478,0.00010299999848939478,9.699999645818025e-05,9.899999713525176e-05,9.899999713525176e-05,28941711,XEC-USD
2022-01-08,9.899999713525176e-05,0.00010099999781232327,9.40000027185306e-05,9.600000339560211e-05,9.600000339560211e-05,21539246,XEC-USD
2022-01-09,9.600000339560211e-05,9.7999996796716e-05,9.300000237999484e-05,9.600000339560211e-05,9.600000339560211e-05,24490158,XEC-USD
2022-01-10,9.600000339560211e-05,9.699999645818025e-05,8.600000001024455e-05,9.000000136438757e-05,9.000000136438757e-05,35001581,XEC-USD
2022-01-11,9.000000136438757e-05,9.40000027185306e-05,8.900000102585182e-05,9.300000237999484e-05,9.300000237999484e-05,35204194,XEC-USD
2022-01-12,9.300000237999484e-05,9.899999713525176e-05,9.300000237999484e-05,9.7999996796716e-05,9.7999996796716e-05,25194503,XEC-USD
2022-01-13,9.7999996796716e-05,0.00010199999815085903,9.500000305706635e-05,9.500000305706635e-05,9.500000305706635e-05,29777083,XEC-USD
2022-01-14,9.500000305706635e-05,9.899999713525176e-05,9.40000027185306e-05,9.699999645818025e-05,9.699999645818025e-05,30802436,XEC-USD
2022-01-15,9.699999645818025e-05,0.00010299999848939478,9.699999645818025e-05,0.00010099999781232327,0.00010099999781232327,39564098,XEC-USD
2022-01-16,0.00010099999781232327,0.00010399999882793054,9.899999713525176e-05,0.00010299999848939478,0.00010299999848939478,20567647,XEC-USD
2022-01-17,0.00010299999848939478,0.00010299999848939478,9.699999645818025e-05,9.999999747378752e-05,9.999999747378752e-05,21837604,XEC-USD
2022-01-18,9.999999747378752e-05,9.999999747378752e-05,9.300000237999484e-05,9.600000339560211e-05,9.600000339560211e-05,23393028,XEC-USD
2022-01-19,9.600000339560211e-05,9.7999996796716e-05,9.100000170292333e-05,9.200000204145908e-05,9.200000204145908e-05,31603043,XEC-USD
2022-01-20,9.200000204145908e-05,9.699999645818025e-05,9.000000136438757e-05,9.000000136438757e-05,9.000000136438757e-05,12910601,XEC-USD
2022-01-21,9.000000136438757e-05,9.100000170292333e-05,7.79999973019585e-05,7.899999764049426e-05,7.899999764049426e-05,36284655,XEC-USD
2022-01-22,7.899999764049426e-05,8.099999831756577e-05,6.500000017695129e-05,6.800000119255856e-05,6.800000119255856e-05,49595895,XEC-USD
2022-01-23,6.800000119255856e-05,7.500000356230885e-05,6.800000119255856e-05,7.400000322377309e-05,7.400000322377309e-05,23233785,XEC-USD
2022-01-24,7.400000322377309e-05,7.500000356230885e-05,6.399999983841553e-05,7.200000254670158e-05,7.200000254670158e-05,39367687,XEC-USD
2022-01-25,7.200000254670158e-05,7.200000254670158e-05,6.900000153109431e-05,7.200000254670158e-05,7.200000254670158e-05,18234659,XEC-USD
2022-01-26,7.200000254670158e-05,7.599999662488699e-05,7.000000186963007e-05,7.200000254670158e-05,7.200000254670158e-05,22112046,XEC-USD
2022-01-27,7.200000254670158e-05,7.200000254670158e-05,6.70000008540228e-05,7.000000186963007e-05,7.000000186963007e-05,17813079,XEC-USD
2022-01-28,7.000000186963007e-05,7.300000288523734e-05,6.800000119255856e-05,7.300000288523734e-05,7.300000288523734e-05,18182552,XEC-USD
2022-01-29,7.300000288523734e-05,7.699999696342275e-05,7.200000254670158e-05,7.699999696342275e-05,7.699999696342275e-05,42101742,XEC-USD
2022-01-30,7.699999696342275e-05,7.699999696342275e-05,7.400000322377309e-05,7.500000356230885e-05,7.500000356230885e-05,13955059,XEC-USD
2022-01-31,7.500000356230885e-05,7.79999973019585e-05,7.300000288523734e-05,7.599999662488699e-05,7.599999662488699e-05,20700839,XEC-USD
2022-02-01,7.599999662488699e-05,7.79999973019585e-05,7.500000356230885e-05,7.699999696342275e-05,7.699999696342275e-05,13603924,XEC-USD
2022-02-02,7.699999696342275e-05,8.199999865610152e-05,7.599999662488699e-05,7.599999662488699e-05,7.599999662488699e-05,51390833,XEC-USD
2022-02-03,7.599999662488699e-05,7.699999696342275e-05,7.300000288523734e-05,7.599999662488699e-05,7.599999662488699e-05,19341048,XEC-USD
2022-02-04,7.599999662488699e-05,8.299999899463728e-05,7.599999662488699e-05,8.299999899463728e-05,8.299999899463728e-05,25736682,XEC-USD
2022-02-05,8.299999899463728e-05,8.70000003487803e-05,8.199999865610152e-05,8.399999933317304e-05,8.399999933317304e-05,32491933,XEC-USD
2022-02-06,8.399999933317304e-05,8.800000068731606e-05,8.299999899463728e-05,8.600000001024455e-05,8.600000001024455e-05,25441794,XEC-USD
2022-02-07,8.600000001024455e-05,9.200000204145908e-05,8.399999933317304e-05,9.000000136438757e-05,9.000000136438757e-05,41059344,XEC-USD
2022-02-08,9.000000136438757e-05,9.999999747378752e-05,8.900000102585182e-05,9.40000027185306e-05,9.40000027185306e-05,96904701,XEC-USD
2022-02-09,9.40000027185306e-05,9.7999996796716e-05,9.300000237999484e-05,9.699999645818025e-05,9.699999645818025e-05,34092774,XEC-USD
2022-02-10,9.699999645818025e-05,9.699999645818025e-05,9.000000136438757e-05,9.200000204145908e-05,9.200000204145908e-05,39592924,XEC-USD
2022-02-11,9.200000204145908e-05,9.200000204145908e-05,8.199999865610152e-05,8.399999933317304e-05,8.399999933317304e-05,30611498,XEC-USD
2022-02-12,8.399999933317304e-05,8.600000001024455e-05,8.099999831756577e-05,8.299999899463728e-05,8.299999899463728e-05,29874512,XEC-USD
2022-02-13,8.299999899463728e-05,8.499999967170879e-05,7.999999797903001e-05,8.199999865610152e-05,8.199999865610152e-05,17397106,XEC-USD
2022-02-14,8.199999865610152e-05,8.299999899463728e-05,7.899999764049426e-05,8.199999865610152e-05,8.199999865610152e-05,27099946,XEC-USD
2022-02-15,8.199999865610152e-05,8.800000068731606e-05,8.199999865610152e-05,8.800000068731606e-05,8.800000068731606e-05,28275183,XEC-USD
2022-02-16,8.800000068731606e-05,8.800000068731606e-05,8.299999899463728e-05,8.600000001024455e-05,8.600000001024455e-05,21153495,XEC-USD
2022-02-17,8.499999967170879e-05,8.600000001024455e-05,7.79999973019585e-05,7.899999764049426e-05,7.899999764049426e-05,28031287,XEC-USD
2022-02-18,7.899999764049426e-05,8.099999831756577e-05,7.79999973019585e-05,7.899999764049426e-05,7.899999764049426e-05,27418298,XEC-USD
2022-02-19,7.899999764049426e-05,7.999999797903001e-05,7.599999662488699e-05,7.79999973019585e-05,7.79999973019585e-05,15619167,XEC-USD
2022-02-20,7.79999973019585e-05,7.79999973019585e-05,7.300000288523734e-05,7.500000356230885e-05,7.500000356230885e-05,14783512,XEC-USD
2022-02-21,7.500000356230885e-05,7.79999973019585e-05,6.800000119255856e-05,6.800000119255856e-05,6.800000119255856e-05,24478372,XEC-USD
2022-02-22,6.800000119255856e-05,7.200000254670158e-05,6.70000008540228e-05,7.200000254670158e-05,7.200000254670158e-05,21174524,XEC-USD
2022-02-23,7.200000254670158e-05,7.500000356230885e-05,7.100000220816582e-05,7.100000220816582e-05,7.100000220816582e-05,13914621,XEC-USD
2022-02-24,7.000000186963007e-05,7.300000288523734e-05,6.199999916134402e-05,7.100000220816582e-05,7.100000220816582e-05,36512046,XEC-USD
2022-02-25,7.100000220816582e-05,7.599999662488699e-05,7.000000186963007e-05,7.500000356230885e-05,7.500000356230885e-05,24465980,XEC-USD
2022-02-26,7.500000356230885e-05,7.699999696342275e-05,7.400000322377309e-05,7.500000356230885e-05,7.500000356230885e-05,18417585,XEC-USD
2022-02-27,7.500000356230885e-05,7.699999696342275e-05,7.000000186963007e-05,7.300000288523734e-05,7.300000288523734e-05,27122297,XEC-USD
2022-02-28,7.300000288523734e-05,7.899999764049426e-05,7.200000254670158e-05,7.899999764049426e-05,7.899999764049426e-05,19348455,XEC-USD
2022-03-01,7.899999764049426e-05,7.999999797903001e-05,7.699999696342275e-05,7.899999764049426e-05,7.899999764049426e-05,27306313,XEC-USD
2022-03-02,7.899999764049426e-05,7.899999764049426e-05,7.500000356230885e-05,7.599999662488699e-05,7.599999662488699e-05,18939074,XEC-USD
2022-03-03,7.599999662488699e-05,7.699999696342275e-05,7.300000288523734e-05,7.500000356230885e-05,7.500000356230885e-05,14484444,XEC-USD
2022-03-04,7.500000356230885e-05,7.500000356230885e-05,6.900000153109431e-05,7.100000220816582e-05,7.100000220816582e-05,19679560,XEC-USD
2022-03-05,7.100000220816582e-05,7.400000322377309e-05,7.000000186963007e-05,7.300000288523734e-05,7.300000288523734e-05,15409322,XEC-USD
2022-03-06,7.300000288523734e-05,7.300000288523734e-05,7.000000186963007e-05,7.000000186963007e-05,7.000000186963007e-05,13476764,XEC-USD
2022-03-07,7.000000186963007e-05,7.200000254670158e-05,6.70000008540228e-05,6.900000153109431e-05,6.900000153109431e-05,22480989,XEC-USD
2022-03-08,6.900000153109431e-05,7.000000186963007e-05,6.800000119255856e-05,6.900000153109431e-05,6.900000153109431e-05,14718380,XEC-USD
2022-03-09,6.900000153109431e-05,7.899999764049426e-05,6.900000153109431e-05,7.500000356230885e-05,7.500000356230885e-05,62521006,XEC-USD
2022-03-10,7.500000356230885e-05,8.399999933317304e-05,7.000000186963007e-05,7.999999797903001e-05,7.999999797903001e-05,192332998,XEC-USD
2022-03-11,8.099999831756577e-05,8.099999831756577e-05,7.400000322377309e-05,7.400000322377309e-05,7.400000322377309e-05,48954334,XEC-USD
2022-03-12,7.400000322377309e-05,7.599999662488699e-05,7.300000288523734e-05,7.400000322377309e-05,7.400000322377309e-05,21465626,XEC-USD
2022-03-13,7.400000322377309e-05,7.599999662488699e-05,7.300000288523734e-05,7.400000322377309e-05,7.400000322377309e-05,39491216,XEC-USD
2022-03-14,7.400000322377309e-05,7.599999662488699e-05,7.200000254670158e-05,7.599999662488699e-05,7.599999662488699e-05,39876138,XEC-USD
2022-03-15,7.599999662488699e-05,8.299999899463728e-05,7.599999662488699e-05,7.999999797903001e-05,7.999999797903001e-05,126887943,XEC-USD
2022-03-16,7.999999797903001e-05,8.199999865610152e-05,7.599999662488699e-05,7.999999797903001e-05,7.999999797903001e-05,49114545,XEC-USD
2022-03-17,7.999999797903001e-05,7.999999797903001e-05,7.79999973019585e-05,7.899999764049426e-05,7.899999764049426e-05,30101258,XEC-USD
2022-03-18,7.899999764049426e-05,8.199999865610152e-05,7.79999973019585e-05,8.099999831756577e-05,8.099999831756577e-05,47127928,XEC-USD
2022-03-19,8.099999831756577e-05,8.399999933317304e-05,8.099999831756577e-05,8.299999899463728e-05,8.299999899463728e-05,35052859,XEC-USD
2022-03-20,8.299999899463728e-05,8.299999899463728e-05,7.79999973019585e-05,7.999999797903001e-05,7.999999797903001e-05,24500752,XEC-USD
2022-03-21,7.899999764049426e-05,8.199999865610152e-05,7.899999764049426e-05,8.099999831756577e-05,8.099999831756577e-05,30711496,XEC-USD
2022-03-22,8.099999831756577e-05,8.499999967170879e-05,7.999999797903001e-05,8.399999933317304e-05,8.399999933317304e-05,38340153,XEC-USD
2022-03-23,8.399999933317304e-05,8.499999967170879e-05,8.099999831756577e-05,8.399999933317304e-05,8.399999933317304e-05,28538811,XEC-USD
2022-03-24,8.399999933317304e-05,8.399999933317304e-05,8.199999865610152e-05,8.399999933317304e-05,8.399999933317304e-05,26841037,XEC-USD
2022-03-25,8.399999933317304e-05,8.900000102585182e-05,8.299999899463728e-05,8.399999933317304e-05,8.399999933317304e-05,34896174,XEC-USD
2022-03-26,8.399999933317304e-05,8.70000003487803e-05,8.399999933317304e-05,8.600000001024455e-05,8.600000001024455e-05,18658370,XEC-USD
2022-03-27,8.600000001024455e-05,0.00010299999848939478,8.600000001024455e-05,9.7999996796716e-05,9.7999996796716e-05,138842160,XEC-USD
2022-03-28,9.7999996796716e-05,0.00010199999815085903,9.300000237999484e-05,9.40000027185306e-05,9.40000027185306e-05,78778126,XEC-USD
2022-03-29,9.40000027185306e-05,9.999999747378752e-05,9.200000204145908e-05,9.40000027185306e-05,9.40000027185306e-05,52283020,XEC-USD
