,open,high,low,close,adjclose,volume,ticker
2022-01-01,46427.6796875,47664.03125,46418.62890625,47578.89453125,47578.89453125,201816318,WBTC-USD
2022-01-02,47578.7734375,47758.83984375,47092.9140625,47344.5078125,47344.5078125,222843830,WBTC-USD
2022-01-03,47344.12109375,47354.8984375,46034.73046875,46453.05078125,46453.05078125,204816835,WBTC-USD
2022-01-04,46453.10546875,47273.4765625,46114.41015625,46118.42578125,46118.42578125,229256984,WBTC-USD
2022-01-05,46118.9140625,46779.6015625,42910.65625,43593.87890625,43593.87890625,341508952,WBTC-USD
2022-01-06,43590.41015625,43640.6328125,42666.51953125,43149.34765625,43149.34765625,339666923,WBTC-USD
2022-01-07,43142.02734375,43142.02734375,41098.82421875,41612.62109375,41612.62109375,416370804,WBTC-USD
2022-01-08,41614.93359375,42148.33203125,40762.5859375,41777.4140625,41777.4140625,275527035,WBTC-USD
2022-01-09,41778.234375,42541.72265625,41471.453125,42006.21875,42006.21875,176911857,WBTC-USD
2022-01-10,42005.27734375,42178.42578125,39898.14453125,41694.1875,41694.1875,263710664,WBTC-USD
2022-01-11,41693.22265625,42963.4140625,41572.8984375,42746.75390625,42746.75390625,232373085,WBTC-USD
2022-01-12,42749.76953125,44058.72265625,42556.0390625,43894.32421875,43894.32421875,203187317,WBTC-USD
2022-01-13,43893.97265625,44225.5390625,42591.2890625,42638.125,42638.125,188060993,WBTC-USD
2022-01-14,42640.875,43263.578125,42020.75390625,43113.0390625,43113.0390625,191747033,WBTC-USD
2022-01-15,43114.72265625,43521.75390625,42805.47265625,43219.3203125,43219.3203125,164566985,WBTC-USD
2022-01-16,43216.44921875,43393.1015625,42795.546875,43166.1953125,43166.1953125,155001113,WBTC-USD
2022-01-17,43168.953125,43197.16796875,41704.74609375,42171.62890625,42171.62890625,208693519,WBTC-USD
2022-01-18,42171.05859375,42369.68359375,41440.30859375,42323.5625,42323.5625,220252603,WBTC-USD
2022-01-19,42322.8828125,42388.328125,41275.48828125,41716.42578125,41716.42578125,257350660,WBTC-USD
2022-01-20,41725.5625,43346.609375,40826.3515625,40832.671875,40832.671875,206093290,WBTC-USD
2022-01-21,40836.828125,40963.2109375,35871.76171875,36460.8046875,36460.8046875,479161556,WBTC-USD
2022-01-22,36463.1328125,36669.60546875,34462.22265625,35018.86328125,35018.86328125,556866971,WBTC-USD
2022-01-23,35027.46875,36336.08203125,34824.70703125,36278.64453125,36278.64453125,276340415,WBTC-USD
2022-01-24,36277.93359375,37067.2265625,33243.828125,36672.015625,36672.015625,593140861,WBTC-USD
2022-01-25,36672.36328125,37422.390625,35831.27734375,36965.53515625,36965.53515625,218617436,WBTC-USD
2022-01-26,36963.5703125,38652.83984375,36443.9765625,36820.75,36820.75,297082836,WBTC-USD
2022-01-27,36810.0234375,37021.14453125,35623.51953125,36999.63671875,36999.63671875,258175209,WBTC-USD
2022-01-28,36994.4140625,37951.91796875,36258.65234375,37831.421875,37831.421875,224388149,WBTC-USD
2022-01-29,37825.0859375,38549.765625,37444.890625,38143.3515625,38143.3515625,162554674,WBTC-USD
2022-01-30,38147.69921875,38241.4296875,37535.84765625,37961.93359375,37961.93359375,178474809,WBTC-USD
2022-01-31,37969.01171875,38584.53515625,36821.59765625,38464.19140625,38464.19140625,211896812,WBTC-USD
2022-02-01,38468.21484375,38927.28515625,38243.375,38764.1796875,38764.1796875,215314649,WBTC-USD
2022-02-02,38764.1796875,38818.80078125,36832.671875,36993.66796875,36993.66796875,194999250,WBTC-USD
2022-02-03,36994.42578125,37077.41015625,36411.390625,37016.140625,37016.140625,275875868,WBTC-USD
2022-02-04,37020.703125,41203.78125,37020.703125,41192.4453125,41192.4453125,368536604,WBTC-USD
2022-02-05,41194.85546875,41736.7734375,41095.3203125,41467.53515625,41467.53515625,195340097,WBTC-USD
2022-02-06,41466.95703125,42266.08984375,41255.1328125,42249.07421875,42249.07421875,163994478,WBTC-USD
2022-02-07,42245.44921875,44106.43359375,41797.29296875,43848.54296875,43848.54296875,227529924,WBTC-USD
2022-02-08,43859.80859375,44917.625,42915.8984375,44084.83203125,44084.83203125,231767678,WBTC-USD
2022-02-09,44075.63671875,44716.609375,43349.1171875,44407.0390625,44407.0390625,172962179,WBTC-USD
2022-02-10,44409.30859375,45382.7265625,43381.38671875,43520.98828125,43520.98828125,244787443,WBTC-USD
2022-02-11,43525.0390625,43701.89453125,42091.1953125,42370.7265625,42370.7265625,189603988,WBTC-USD
2022-02-12,42373.578125,42813.41796875,41850.12109375,42142.625,42142.625,170972620,WBTC-USD
2022-02-13,42142.5546875,42577.14453125,41944.578125,42211.69140625,42211.69140625,94554589,WBTC-USD
2022-02-14,42177.4921875,42671.14453125,41685.4375,42564.40234375,42564.40234375,132550374,WBTC-USD
2022-02-15,42562.52734375,44525.70703125,42484.1328125,44474.16796875,44474.16796875,180344414,WBTC-USD
2022-02-16,44481.51953125,44485.84765625,43481.78125,43958.50390625,43958.50390625,151888435,WBTC-USD
2022-02-17,43943.59765625,44112.3125,40379.359375,40577.9921875,40577.9921875,236860307,WBTC-USD
2022-02-18,40571.36328125,40899.83203125,39745.8828125,40044.78515625,40044.78515625,213626475,WBTC-USD
2022-02-19,40043.0625,40333.49609375,39678.90234375,40102.14453125,40102.14453125,147435904,WBTC-USD
2022-02-20,40100.19921875,40100.19921875,38097.20703125,38448.36328125,38448.36328125,164248424,WBTC-USD
2022-02-21,38443.0,39341.66796875,37083.2890625,37093.19140625,37093.19140625,238746815,WBTC-USD
2022-02-22,37089.51953125,38264.43359375,36545.875,38230.69140625,38230.69140625,188206786,WBTC-USD
2022-02-23,38231.1484375,39082.69140625,37230.60546875,37260.75390625,37260.75390625,150897606,WBTC-USD
2022-02-24,37256.68359375,38759.46875,34573.5078125,38276.01953125,38276.01953125,461473124,WBTC-USD
2022-02-25,38277.16796875,39508.9375,38203.44921875,39243.109375,39243.109375,325327024,WBTC-USD
2022-02-26,39236.8203125,39863.6484375,38818.9140625,39067.99609375,39067.99609375,149601888,WBTC-USD
2022-02-27,39065.26171875,39656.12109375,37304.55078125,37685.9609375,37685.9609375,240371173,WBTC-USD
2022-02-28,37682.71484375,43422.30078125,37515.07421875,43153.66015625,43153.66015625,299071528,WBTC-USD
