,open,high,low,close,adjclose,volume,ticker
2022-01-01,8.801701545715332,9.168753623962402,8.801701545715332,9.167920112609863,9.167920112609863,40934235,FLOW-USD
2022-01-02,9.165889739990234,9.440640449523926,9.01671028137207,9.283650398254395,9.283650398254395,58553808,FLOW-USD
2022-01-03,9.28291130065918,9.28291130065918,8.863251686096191,8.939324378967285,8.939324378967285,49981790,FLOW-USD
2022-01-04,8.939678192138672,9.226083755493164,8.737088203430176,8.945328712463379,8.945328712463379,67504759,FLOW-USD
2022-01-05,8.94544506072998,9.26796817779541,8.30318832397461,8.446908950805664,8.446908950805664,84576036,FLOW-USD
2022-01-06,8.446878433227539,8.455588340759277,8.096317291259766,8.320331573486328,8.320331573486328,73529702,FLOW-USD
2022-01-07,8.318283081054688,8.328926086425781,7.843191146850586,7.956860065460205,7.956860065460205,78548461,FLOW-USD
2022-01-08,7.9585418701171875,8.052902221679688,7.562201976776123,7.714436054229736,7.714436054229736,55947135,FLOW-USD
2022-01-09,7.7144551277160645,7.911208152770996,7.675570964813232,7.804242134094238,7.804242134094238,44948536,FLOW-USD
2022-01-10,7.803511142730713,7.922979831695557,7.208768844604492,7.4858198165893555,7.4858198165893555,71340068,FLOW-USD
2022-01-11,7.485706806182861,7.654858112335205,7.312199115753174,7.633091926574707,7.633091926574707,61020558,FLOW-USD
2022-01-12,7.633627891540527,7.948733806610107,7.6079912185668945,7.929081916809082,7.929081916809082,62422789,FLOW-USD
2022-01-13,7.928494930267334,8.11950969696045,7.729498863220215,7.729498863220215,7.729498863220215,67978355,FLOW-USD
2022-01-14,7.730782985687256,7.861702919006348,7.5900959968566895,7.726503849029541,7.726503849029541,60106393,FLOW-USD
2022-01-15,7.727786064147949,7.776822090148926,7.63201904296875,7.726288795471191,7.726288795471191,54106899,FLOW-USD
2022-01-16,7.726172924041748,7.794230937957764,7.490080833435059,7.600377082824707,7.600377082824707,60433270,FLOW-USD
