,open,high,low,close,adjclose,volume,ticker
2022-01-01,46480.63671875,47695.01171875,46460.69921875,47571.6015625,47571.6015625,1794418,HBTC-USD
2022-01-02,47569.0234375,47572.96484375,47034.0703125,47309.671875,47309.671875,1831000,HBTC-USD
2022-01-03,47309.4765625,47426.65625,46028.06640625,46449.8203125,46449.8203125,1798017,HBTC-USD
2022-01-04,46449.84765625,46663.11328125,46273.12890625,46610.2578125,46610.2578125,207039,HBTC-USD
2022-01-05,46610.2578125,46610.2578125,46610.2578125,46610.2578125,46610.2578125,229214,HBTC-USD
2022-01-06,46610.2578125,46610.2578125,42826.37109375,43337.9296875,43337.9296875,168124,HBTC-USD
2022-01-07,43330.54296875,43330.54296875,41256.296875,41758.00390625,41758.00390625,122587,HBTC-USD
2022-01-08,41761.5859375,42399.80078125,40836.8359375,41902.796875,41902.796875,127485,HBTC-USD
2022-01-09,41903.5859375,42836.5703125,41505.4140625,42081.17578125,42081.17578125,131204,HBTC-USD
2022-01-10,42079.80078125,42309.6328125,39946.73046875,41935.5234375,41935.5234375,274776,HBTC-USD
2022-01-11,41933.90234375,43173.16015625,41575.2890625,42908.1640625,42908.1640625,137170,HBTC-USD
2022-01-12,42914.515625,44313.94140625,42701.05859375,44124.8984375,44124.8984375,134538,HBTC-USD
2022-01-13,44122.52734375,44455.53515625,42618.78515625,42761.9375,42761.9375,133641,HBTC-USD
2022-01-14,42769.26953125,43520.68359375,42150.546875,43274.08203125,43274.08203125,147117,HBTC-USD
2022-01-15,43276.2890625,43899.578125,42841.67578125,43350.10546875,43350.10546875,105724,HBTC-USD
2022-01-16,43344.7265625,43612.5546875,42863.75390625,43288.3203125,43288.3203125,145528,HBTC-USD
2022-01-17,43292.57421875,43352.109375,41847.04296875,42421.49609375,42421.49609375,176438,HBTC-USD
2022-01-18,42421.015625,42706.07421875,41559.69140625,42545.13671875,42545.13671875,197501,HBTC-USD
2022-01-19,42543.53515625,42649.62109375,41409.4921875,41911.30859375,41911.30859375,142806,HBTC-USD
2022-01-20,41911.00390625,43588.671875,40837.38671875,40845.01171875,40845.01171875,200057,HBTC-USD
2022-01-21,40864.27734375,41225.9609375,35900.08984375,36569.12890625,36569.12890625,364668,HBTC-USD
2022-01-22,36583.0078125,36796.97265625,34458.76953125,35169.1328125,35169.1328125,155613,HBTC-USD
2022-01-23,35186.234375,36579.265625,34905.078125,36400.98046875,36400.98046875,81315,HBTC-USD
