,open,high,low,close,adjclose,volume,ticker
2022-01-01,1826.17724609375,1833.2677001953125,1823.98095703125,1831.1380615234375,1831.1380615234375,2150059,XAUT-USD
2022-01-02,1830.8431396484375,1833.7469482421875,1826.1226806640625,1829.8076171875,1829.8076171875,1055451,XAUT-USD
2022-01-03,1830.00537109375,1835.13525390625,1802.9259033203125,1807.726806640625,1807.726806640625,4692175,XAUT-USD
2022-01-04,1808.0411376953125,1820.2520751953125,1802.881591796875,1814.1278076171875,1814.1278076171875,914430,XAUT-USD
2022-01-05,1813.9984130859375,1829.7373046875,1808.865966796875,1812.999267578125,1812.999267578125,2479421,XAUT-USD
2022-01-06,1813.466552734375,1815.595458984375,1788.3203125,1793.1246337890625,1793.1246337890625,2966432,XAUT-USD
2022-01-07,1792.9716796875,1803.77099609375,1789.477783203125,1798.92822265625,1798.92822265625,3374890,XAUT-USD
2022-01-08,1799.2637939453125,1805.8902587890625,1796.4117431640625,1799.07763671875,1799.07763671875,904547,XAUT-USD
2022-01-09,1800.2568359375,1803.7393798828125,1796.2303466796875,1797.714599609375,1797.714599609375,851077,XAUT-USD
2022-01-10,1804.4752197265625,1806.9556884765625,1795.1651611328125,1805.5556640625,1805.5556640625,3163291,XAUT-USD
2022-01-11,1804.070556640625,1826.9381103515625,1803.4627685546875,1822.283935546875,1822.283935546875,3028235,XAUT-USD
2022-01-12,1823.1461181640625,1834.8248291015625,1821.516845703125,1829.9278564453125,1829.9278564453125,2282773,XAUT-USD
2022-01-13,1831.0537109375,1833.0555419921875,1817.354248046875,1824.33642578125,1824.33642578125,2556934,XAUT-USD
2022-01-14,1824.8013916015625,1830.7110595703125,1818.5152587890625,1819.0958251953125,1819.0958251953125,1195723,XAUT-USD
2022-01-15,1818.901611328125,1823.605224609375,1817.0255126953125,1819.1673583984375,1819.1673583984375,512092,XAUT-USD
2022-01-16,1818.845458984375,1823.717041015625,1816.90576171875,1820.389892578125,1820.389892578125,910933,XAUT-USD
2022-01-17,1820.450439453125,1832.87744140625,1815.64404296875,1825.0010986328125,1825.0010986328125,5446748,XAUT-USD
2022-01-18,1823.5472412109375,1834.5595703125,1811.086181640625,1817.445068359375,1817.445068359375,12089360,XAUT-USD
2022-01-19,1817.7835693359375,1849.6448974609375,1812.5543212890625,1842.1546630859375,1842.1546630859375,7069659,XAUT-USD
