,open,high,low,close,adjclose,volume,ticker
2022-01-01,228.84783935546875,251.87010192871094,228.76864624023438,250.2061767578125,250.2061767578125,277123156,XMR-USD
2022-01-02,250.17434692382812,250.69332885742188,236.7012481689453,239.3717041015625,239.3717041015625,205086716,XMR-USD
2022-01-03,239.3749237060547,239.4595489501953,223.89768981933594,231.54754638671875,231.54754638671875,181602416,XMR-USD
2022-01-04,231.56317138671875,232.96461486816406,221.17218017578125,222.34445190429688,222.34445190429688,158699220,XMR-USD
2022-01-05,222.33071899414062,224.84283447265625,202.32493591308594,207.3002166748047,207.3002166748047,167830134,XMR-USD
2022-01-06,207.17864990234375,207.17864990234375,194.67242431640625,204.044189453125,204.044189453125,167583978,XMR-USD
2022-01-07,204.0754852294922,208.4226531982422,192.66854858398438,194.51123046875,194.51123046875,188855914,XMR-USD
2022-01-08,194.5169677734375,197.2926025390625,179.70330810546875,184.38858032226562,184.38858032226562,159500629,XMR-USD
2022-01-09,184.42434692382812,194.30807495117188,183.50953674316406,190.5654754638672,190.5654754638672,160397525,XMR-USD
2022-01-10,190.58230590820312,194.16798400878906,179.77975463867188,182.95480346679688,182.95480346679688,155326169,XMR-USD
2022-01-11,182.89340209960938,193.00221252441406,181.51219177246094,192.99606323242188,192.99606323242188,148243963,XMR-USD
2022-01-12,192.99827575683594,200.4586944580078,192.74024963378906,198.88473510742188,198.88473510742188,128414859,XMR-USD
2022-01-13,198.887451171875,229.2452850341797,198.57424926757812,222.5472869873047,222.5472869873047,389788594,XMR-USD
2022-01-14,222.87152099609375,230.23892211914062,217.54400634765625,229.3461456298828,229.3461456298828,270672381,XMR-USD
2022-01-15,229.3395233154297,230.2607879638672,217.30892944335938,217.89724731445312,217.89724731445312,128729844,XMR-USD
2022-01-16,217.9240264892578,227.565185546875,213.4294891357422,224.06605529785156,224.06605529785156,142051428,XMR-USD
2022-01-17,224.01812744140625,229.6785430908203,212.4404754638672,215.1498565673828,215.1498565673828,214943426,XMR-USD
2022-01-18,215.13980102539062,217.41554260253906,200.17282104492188,204.4551239013672,204.4551239013672,173747300,XMR-USD
2022-01-19,204.41844177246094,212.2874755859375,199.57064819335938,201.71189880371094,201.71189880371094,182623715,XMR-USD
2022-01-20,201.68905639648438,209.60267639160156,188.4287567138672,188.4287567138672,188.4287567138672,117167229,XMR-USD
2022-01-21,188.50669860839844,191.8759307861328,168.05506896972656,172.04705810546875,172.04705810546875,212493540,XMR-USD
2022-01-22,172.1662139892578,174.6005096435547,142.2332305908203,151.7290496826172,151.7290496826172,254534089,XMR-USD
2022-01-23,151.84352111816406,158.53501892089844,148.58839416503906,156.395751953125,156.395751953125,150684447,XMR-USD
2022-01-24,156.42173767089844,156.62445068359375,135.32464599609375,146.84588623046875,146.84588623046875,207597550,XMR-USD
2022-01-25,146.85171508789062,147.2145538330078,140.3779754638672,144.7281494140625,144.7281494140625,209941643,XMR-USD
2022-01-26,144.6994171142578,157.95899963378906,143.4380645751953,148.29644775390625,148.29644775390625,198939510,XMR-USD
2022-01-27,148.29306030273438,149.1735076904297,139.7002410888672,144.47897338867188,144.47897338867188,157131646,XMR-USD
2022-01-28,144.43563842773438,149.13247680664062,141.06480407714844,149.02413940429688,149.02413940429688,115462806,XMR-USD
2022-01-29,149.02767944335938,155.29806518554688,148.93569946289062,153.45162963867188,153.45162963867188,95168638,XMR-USD
2022-01-30,153.52622985839844,154.6794891357422,146.08628845214844,147.91908264160156,147.91908264160156,105280126,XMR-USD
2022-01-31,147.91839599609375,147.98919677734375,141.22349548339844,147.37472534179688,147.37472534179688,130730760,XMR-USD
2022-02-01,147.3398895263672,148.0390625,143.7417449951172,146.16348266601562,146.16348266601562,149547599,XMR-USD
2022-02-02,146.16329956054688,150.1565399169922,144.3240509033203,144.80357360839844,144.80357360839844,127594095,XMR-USD
2022-02-03,144.78384399414062,146.63528442382812,141.2880401611328,146.63528442382812,146.63528442382812,110870747,XMR-USD
2022-02-04,146.61795043945312,165.4447021484375,146.61795043945312,165.1203155517578,165.1203155517578,195159073,XMR-USD
2022-02-05,165.12689208984375,169.99871826171875,162.4169921875,168.6819305419922,168.6819305419922,148837412,XMR-USD
